Year,Magnitude,Unit,Alert,Location,Tsunami,Date,Longitude,Latitude,Timestamp
1990,302,302,0,298,302,302,302,302,302
1991,303,303,0,299,303,303,303,303,303
1992,301,301,0,300,301,301,301,301,301
1993,267,267,0,261,267,267,267,267,267
1994,214,214,0,211,214,214,214,214,214
1995,234,234,0,229,234,234,234,234,234
1996,178,178,0,175,178,178,178,178,178
1997,191,191,0,189,191,191,191,191,191
1998,179,179,0,179,179,179,179,179,179
1999,171,171,0,169,171,171,171,171,171
2000,200,200,0,198,200,200,200,200,200
2001,210,210,0,209,210,210,210,210,210
2002,216,216,0,213,216,216,216,216,216
2003,207,207,0,206,207,207,207,207,207
2004,281,281,0,276,281,281,281,281,281
2005,284,284,0,278,284,284,284,284,284
2006,384,384,0,374,384,384,384,384,384
2007,395,395,0,392,395,395,395,395,395
2008,337,337,0,331,337,337,337,337,337
2009,444,444,0,431,444,444,444,444,444
2010,357,357,0,352,357,357,357,357,357
2011,444,444,0,438,444,444,444,444,444
2012,261,261,0,256,261,261,261,261,261
2013,189,189,64,187,189,189,189,189,189
2014,285,285,100,275,285,285,285,285,285
2015,249,249,83,243,249,249,249,249,249
2016,253,253,88,251,253,253,253,253,253
2017,234,234,76,231,234,234,234,234,234
2018,279,279,100,277,279,279,279,279,279
2019,307,307,122,300,307,307,307,307,307
2020,247,247,108,246,247,247,247,247,247
2021,348,348,136,341,348,348,348,348,348
